stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,zone_id,level_id,stop_timezone,platform_code,wheelchair_boarding,stop_code,stop_url,stop_desc
266668,str. Movileni,47.001980,28.895876,,,,,,,,,,
266669,str. Movileni,47.002500,28.895784,,,,,,,,,,
266670,str. Salcimilor,46.979748,28.895470,,,,,,,,,,
266672,str. Salcimilor,46.979633,28.897434,,,,,,,,,,
266675,str. N. Titulescu,46.999950,28.859810,,,,,,,,,,
266676,str. N. Titulescu,47.000740,28.860176,,,,,,,,,,
266678,str. Nicolae Costin,47.042650,28.770039,,,,,,,,,,
266679,str. Nicolae Dimo,47.043190,28.867330,,,,,,,,,,
266680,str. Nicolae Dimo,47.043630,28.866154,,,,,,,,,,
266684,str. Nicolae Milescu Spataru,47.043430,28.897790,,,,,,,,,,
266685,str. Nicolae Milescu Spataru,47.043465,28.898067,,,,,,,,,,
266686,str. Onisifor Ghibu,47.034990,28.776484,,,,,,,,,,
266687,str. Onisifor Ghibu,47.035686,28.775585,,,,,,,,,,
266692,str. Paris,47.031864,28.782705,,,,,,,,,,
266693,str. Paris,47.032684,28.781685,,,,,,,,,,
266698,str. Petru Zadnipru,47.043060,28.891430,,,,,,,,,,
266699,str. Petru Zadnipru,47.043860,28.889046,,,,,,,,,,
266700,str. Mircea cel Batrin(Petru Zadnipru),47.043010,28.889841,,,,,,,,,,
266710,str. Pădurii,46.979424,28.889610,,,,,,,,,,
266711,str. Pădurii (C.A.-2808),46.979385,28.892916,,,,,,,,,,
266712,str. Romană,47.032017,28.842790,,,,,,,,,,
266713,str. Romană,47.032520,28.844465,,,,,,,,,,
266714,str. Nicolae Zelinschi,46.993263,28.865194,,,,,,,,,,
266716,str. Serghei Lazo,47.028950,28.825720,,,,,,,,,,
266724,Bd. Moscova (str. Studenților),47.058514,28.867397,,,,,,,,,,
266725,bd. Moscovei,47.058630,28.866692,,,,,,,,,,
266727,str. Teilor,46.989765,28.852913,,,,,,,,,,
266730,str. Teilor,46.988308,28.853790,,,,,,,,,,
266732,str. Toma Ciorbă,47.031610,28.821770,,,,,,,,,,
266739,str. Vadul lui Vodă,47.032707,28.889700,,,,,,,,,,
266741,str. Vadul lui Vodă,47.032467,28.888624,,,,,,,,,,
266742,Statia Deservirii Tehnice,46.974064,28.859455,,,,,,,,,,
266743,str. Valea Crucii 10,46.974380,28.860300,,,,,,,,,,
266752,str. Voluntarilor,47.011475,28.888103,,,,,,,,,,
266757,str. Zelinski,46.992710,28.859596,,,,,,,,,,
266759,str. Ștefan Neaga,47.032555,28.805235,,,,,,,,,,
266760,str. Ștefan Neaga,47.032430,28.805424,,,,,,,,,,
266762,Str.Burebista,46.978745,28.869017,,,,,,,,,,
266776,str. Studenţilor,47.061790,28.855413,,,,,,,,,,
266782,Supraten,47.020115,28.887098,,,,,,,,,,
266787,Teatrul M. Eminescu,47.022200,28.835777,,,,,,,,,,
266788,Teatrul Național de Operă și Balet „Maria Bieșu”,47.026806,28.829344,,,,,,,,,,
266843,"magazinul""UNIC""",47.016396,28.844843,,,,,,,,,,
266844,"magazinul ""UNIC""",47.016804,28.843895,,,,,,,,,,
266851,Universitatea de Stat de Medicină și Farmacie,47.034390,28.817986,,,,,,,,,,
266854,Universitatea de Stat de Medicină și Farmacie,47.033398,28.819020,,,,,,,,,,
266855,Universitatea Pedagogică de Stat „Ion Creangă“,47.037150,28.812190,,,,,,,,,,
266856,Universitatea Pedagogică de Stat „Ion Creangă“,47.037100,28.811695,,,,,,,,,,
266857,Universitatea Tehnică,47.031227,28.822746,,,,,,,,,,
266858,str. Studentilor,47.059400,28.867680,,,,,,,,,,
266860,"Uzina ""MoldovaHidro-Maș"" (INTEH)",47.015366,28.886576,,,,,,,,,,
266862,str. Mesterul Manole,47.012670,28.887514,,,,,,,,,,
266868,Valea Crucii,46.976707,28.870392,,,,,,,,,,
266869,Valea Crucii,46.977337,28.870533,,,,,,,,,,
266895,str. Trandafirilor (Zelinschi),46.992485,28.849054,,,,,,,,,,
266919,șos. Balcani,47.041683,28.763302,,,,,,,,,,
266920,str. Liviu Deleanu (șos. Balcani),47.046955,28.767040,,,,,,,,,,
266922,Cartierul Codru,46.938847,28.947891,,,,,,,,,,
267485,str. Nicolae Sulac,47.061280,28.897701,,,,,,,,,,
267486,str. Nicolae Sulac,47.060990,28.897491,,,,,,,,,,
267487,Centru Civic,47.047690,28.898012,,,,,,,,,,
267762,bd.Cuza-Voda,46.983300,28.862677,,,,,,,,,,
267763,str. Butucului,46.986877,28.868176,,,,,,,,,,
267764,bd. Dimitre Cantemir,47.014072,28.856090,,,,,,,,,,
267765,str. Albisoara,47.016457,28.856508,,,,,,,,,,
267766,str. Titu Maiorescu,47.027634,28.852608,,,,,,,,,,
267767,str. Titu Maiorescu,47.026350,28.852522,,,,,,,,,,
267768,str. Sarmisegetusa,46.992085,28.866035,,,,,,,,,,
267769,bd. Cuza-Voda,46.987934,28.869339,,,,,,,,,,
267770,str. Butucului,46.986156,28.866684,,,,,,,,,,
267860,Magazin Alimentar,47.061390,28.836610,,,,,,,,,,
267861,str. Doina 150,47.065388,28.833689,,,,,,,,,,
267862,str. Doina 150,47.064934,28.833775,,,,,,,,,,
267863,str. Socoleni,47.060326,28.837969,,,,,,,,,,
267864,str. Ceucari,47.061737,28.846508,,,,,,,,,,
